"","Month","Reef","Year","Day","mean_cover","sd_veg","HaloBins1SD","HaloBins2SD","halosize","halosize2","Date","daily_temp","rolling_average_14","rolling_average_7","rolling_max_14","rolling_max_7","Total_N","Total_P","Phosphate","Sillicate","N.N","Ammonia","Chlorophyll","total_number","total_mass","total_number_herbivore","total_mass_herbivore","Reef2"
"31",8,"R1",2022,24,0.329741583688952,0.25332460267029,3,0,60,0,2022-08-24,27.0208333333333,26.5611327945104,26.8272997835498,27.0208333333333,27.0208333333333,8.535328735,0.158330284,0.060522609,2.141939765,0.180497685,0.136224633,0.294642857,27,22.9105757116139,26,22.1162417370035,1
"32",8,"R1",2023,28,0.181065162907268,0.109033102299437,0,0,0,0,2023-08-28,27.6179444444444,27.9638214285714,27.4576527777778,29.03125,28.2586805555556,7.246765229,0.099933563,0.037360473,1.598622092,0.145385052,0.240883472,0.298,46,114.897960710105,43,100.276186519001,1
"33",8,"R2",2022,24,0.412393762183236,0.278409498924372,4,0,80,0,2022-08-24,27.0208333333333,26.5611327945104,26.8272997835498,27.0208333333333,27.0208333333333,7.790950544,0.168444749,0.038023498,2.460101273,0.207353742,0.121181422,0.330357143,24,171.532486196105,23,95.503012118993,2
"34",8,"R2",2023,28,0.285526315789474,0.171804528657606,0,0,0,0,2023-08-28,27.6179444444444,27.9638214285714,27.4576527777778,29.03125,28.2586805555556,7.390630317,0.097454295,0.041455402,1.600377662,0.15190416,0.260639905,0.286,26,188.798035218536,22,62.5621543923821,2
"35",8,"R3",2022,24,0.622,0.301823288195754,4,2,80,40,2022-08-24,27.0208333333333,26.5611327945104,26.8272997835498,27.0208333333333,27.0208333333333,7.55009938,0.11845595,0.043108297,2.120381281,0.134637176,0.077530395,0.332142857,22,185.312862747334,21,184.518528772724,3
"36",8,"R3",2023,28,0.535099573257468,0.259528058077836,5,0,100,0,2023-08-28,27.6179444444444,27.9638214285714,27.4576527777778,29.03125,28.2586805555556,7.593269558,0.145513948,0.046194477,1.611262196,0.152975794,0.083738273,0.304,37,358.857059138353,35,333.85857592837,3
"37",9,"R1",2022,22,0.304257532720691,0.167494110622152,1,0,20,0,2022-09-22,27.05625,27.1254464285714,27.0380952380952,27.3708333333333,27.2541666666667,7.615505433,0.166479292,0.055719031,2.227456312,0.159503007,0.287643314,0.315384615,29,21.1333900661281,23,8.74989521203017,1
"38",9,"R1",2023,27,0.26483918128655,0.152706523838245,2,0,40,0,2023-09-27,26.7853240740741,27.1409507275132,26.7285383597884,28.3434722222222,26.8617361111111,6.404799592,0.129326573,0.02902105,1.499202342,0.215553937,0.430256301,0.383928571,63,204.225904171727,60,163.078061671574,1
"39",9,"R2",2022,22,0.269657821023146,0.200519303513449,3,0,60,0,2022-09-22,27.05625,27.1254464285714,27.0380952380952,27.3708333333333,27.2541666666667,22.98963861,0.354408043,0.264830836,2.86847437,0.180060772,1.20582515,0.334,9,31.3050554834485,8,7.21073374037032,2
"40",9,"R2",2023,27,0.34268599740091,0.193877413381855,0,0,0,0,2023-09-27,26.7853240740741,27.1409507275132,26.7285383597884,28.3434722222222,26.8617361111111,6.440169502,0.109801933,0.034511955,4.679684101,0.271548811,0.104166032,0.4125,40,155.148956328379,39,44.939039008531,2
"41",9,"R3",2022,22,0.421513784461153,0.265867804428951,3,0,60,0,2022-09-22,27.05625,27.1254464285714,27.0380952380952,27.3708333333333,27.2541666666667,6.793374669,0.180254174,0.048395707,2.640806183,0.158781682,0.095842775,0.317307692,19,93.7120527917732,19,93.7120527917732,3
"42",9,"R3",2023,27,0.322186660344555,0.171907125205438,0,0,0,0,2023-09-27,26.7853240740741,27.1409507275132,26.7285383597884,28.3434722222222,26.8617361111111,5.752285732,0.087184281,0.046508892,3.261302359,0.192032579,0.107945022,0.424137931,36,573.986951649496,36,573.986951649496,3
