Date,Month,Year,Time,Tide,Site,Scientific_Name,Common_Name,Family,Size_cm,Number,Notes
10/18/22,10,2022,10:00,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,5,3,
10/18/22,10,2022,10:00,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,12,1,
10/18/22,10,2022,10:00,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,1,3,
11/30/22,11,2022,8:00,Rising,R1,Lutjanus kasmira,Bluestripe snapper,Grunt,10,5,
11/30/22,11,2022,8:00,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,5,14,
11/30/22,11,2022,8:00,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,8,4,
11/30/22,11,2022,8:00,Rising,R1,Crab,Crab,Crab,8,1,
11/30/22,11,2022,8:00,Rising,R1,Parrotfish sp. ,Parrotfish sp.,Parrotfish,4,5,
11/30/22,11,2022,8:00,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,15,2,
11/30/22,11,2022,8:00,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,7,2,
11/30/22,11,2022,8:00,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,4,4,
11/30/22,11,2022,8:00,Rising,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,4,1,
11/30/22,11,2022,8:00,Rising,R2,Stegastes marginatus,Hawaiian Gregory,Damselfish,15,1,
11/30/22,11,2022,8:00,Rising,R2,Parrotfish sp. ,Parrotfish sp.,Parrotfish,5,2,
11/30/22,11,2022,8:00,Rising,R2,Crab,Crab,Crab,5,1,
11/30/22,11,2022,8:00,Rising,R2,Opheodesoma spectabilis,Conspicuous Sea Cucumber,Sea Cucumber,NA,1,
11/30/22,11,2022,8:00,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,5,16,
11/30/22,11,2022,8:00,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,10,4,
11/30/22,11,2022,8:00,Rising,R3,Lutjanus kasmira,Bluestripe snapper,Grunt,10,2,
11/30/22,11,2022,8:00,Rising,R3,Mantis shrimp,Mantis shrimp,Mantis shrimp,8,NA,
11/30/22,11,2022,8:00,Rising,R3,Parrotfish sp. ,Parrotfish sp.,Parrotfish,3,6,
11/30/22,11,2022,8:00,Rising,R3,Goby sp.,Goby sp.,Goby,3,1,
1/18/23,1,2023,8:45,Rising,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,7,1,
1/18/23,1,2023,8:45,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,5,5,
1/18/23,1,2023,8:45,Rising,R1,Scorpionfish sp.,Scorpionfish sp.,Scorpionfish,10,1,
1/18/23,1,2023,8:45,Rising,R1,Parrotfish sp. ,Parrotfish sp.,Parrotfish,4,1,
1/18/23,1,2023,8:45,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,15,1,
1/18/23,1,2023,8:45,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,1,
1/18/23,1,2023,8:45,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,5,5,
1/18/23,1,2023,8:45,Rising,R2,Opheodesoma spectabilis,Conspicuous Sea Cucumber,Sea Cucumber,NA,1,
1/18/23,1,2023,8:45,Rising,R2,Stegastes marginatus,Hawaiian Gregory,Damselfish,18,1,
1/18/23,1,2023,8:45,Rising,R2,Octopus sp. ,Octopus sp.,Octopus,NA,1,
1/18/23,1,2023,8:45,Rising,R3,Acanthurus blochii,Hawaiian Sergeant,Damselfish,5,2,
1/18/23,1,2023,8:45,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,7,7,
1/18/23,1,2023,8:45,Rising,R3,Sea Cucumber,Sea Cucumber,Sea Cucumber,NA,1,
1/18/23,1,2023,8:45,Rising,R3,Parrotfish sp. ,Parrotfish sp.,Parrotfish,4,2,
3/6/23,3,2023,13:45,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,5,very windy/currenty
3/6/23,3,2023,13:45,Rising,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,10,1,
3/6/23,3,2023,13:45,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,15,1,
3/6/23,3,2023,13:45,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,15,2,
3/6/23,3,2023,13:45,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,2,
3/6/23,3,2023,13:45,Rising,R2,Stegastes marginatus,Hawaiian Gregory,Damselfish,20,1,
3/6/23,3,2023,13:45,Rising,R2,Parrotfish sp. ,Parrotfish sp.,Parrotfish,7,1,
3/6/23,3,2023,13:45,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,5,
3/6/23,3,2023,13:45,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,10,2,
4/6/23,4,2023,13:50,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,12,7,
4/6/23,4,2023,13:50,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,10,2,
4/6/23,4,2023,13:50,Rising,R1,Canthigaster jactator,Hawaiian Whitespotted Toby,Pufferfish,7,1,**I think it's this species
4/6/23,4,2023,13:50,Rising,R1,Aulostomus chinensis,Pacific Trumpetifsh,Trumpetfish,15,1,**I think it's this species
4/6/23,4,2023,13:50,Rising,R2,Stegastes marginatus,Hawaiian Gregory,Damselfish,12,1,
4/6/23,4,2023,13:50,Rising,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,10,2,
4/6/23,4,2023,13:50,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,3,
4/6/23,4,2023,13:50,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,5,1,
4/6/23,4,2023,13:50,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,12,2,
4/6/23,4,2023,13:50,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,5,
4/6/23,4,2023,13:50,Rising,R3,Crab sp.,Crab sp. ,Crab,NA,1,
4/6/23,4,2023,13:50,Rising,R3,Parrotfish sp. ,Parrotfish sp.,Parrotfish,4,1,
5/17/23,5,2023,2:15,High,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,3,"Lots of sediment, hard to see"
5/17/23,5,2023,2:15,High,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,4,2,"Lots of sediment, hard to see"
5/17/23,5,2023,2:15,High,R1,Stegastes marginatus,Hawaiian Gregory,Damselfish,5,1,"Lots of sediment, hard to see"
5/17/23,5,2023,2:15,High,R1,Opheodesoma spectabilis,Conspicuous Sea Cucumber,Sea Cucumber,NA,1,"Lots of sediment, hard to see"
5/17/23,5,2023,2:15,High,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,5,1,"Lots of sediment, hard to see"
5/17/23,5,2023,2:15,High,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,15,2,"Lots of sediment, hard to see"
5/17/23,5,2023,2:15,High,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,2,"Lots of sediment, hard to see"
5/17/23,5,2023,2:15,High,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,3,1,"Lots of sediment, hard to see"
5/17/23,5,2023,2:15,High,R2,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,15,1,"Lots of sediment, hard to see"
5/17/23,5,2023,2:15,High,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,18,1,"Lots of sediment, hard to see"
5/17/23,5,2023,2:15,High,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,15,1,"Lots of sediment, hard to see"
5/17/23,5,2023,2:15,High,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,5,"Lots of sediment, hard to see"
5/17/23,5,2023,2:15,High,R3,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,7,1,"Lots of sediment, hard to see"
6/30/23,6,2023,12:30,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,15,2,
6/30/23,6,2023,12:30,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,1,
6/30/23,6,2023,12:30,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,5,4,
6/30/23,6,2023,12:30,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,10,2,
6/30/23,6,2023,12:30,Rising,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,10,1,
6/30/23,6,2023,12:30,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,15,1,
6/30/23,6,2023,12:30,Rising,R1,Zebrasoma flavescens,Yellow Tang,Surgeonfish,5,1,
6/30/23,6,2023,12:30,Rising,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,20,1,
6/30/23,6,2023,12:30,Rising,R2,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,8,2,
6/30/23,6,2023,12:30,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,1,
6/30/23,6,2023,12:30,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,15,1,
6/30/23,6,2023,12:30,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,6,2,
6/30/23,6,2023,12:30,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,15,3,
6/30/23,6,2023,12:30,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,3,
6/30/23,6,2023,12:30,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,3,3,
6/30/23,6,2023,12:30,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,10,2,
6/30/23,6,2023,12:30,Rising,R3,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,10,1,
6/30/23,6,2023,12:30,Rising,R3,Dascyllus albisella,Domino damselfish,Damselfish,3,2,
7/27/23,7,2023,11:30,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,5,18,
7/27/23,7,2023,11:30,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,15,1,
7/27/23,7,2023,11:30,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,1,
7/27/23,7,2023,11:30,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,12,2,
7/27/23,7,2023,11:30,Rising,R1,Zebrasoma flavescens,Yellow Tang,Surgeonfish,7,1,
7/27/23,7,2023,11:30,Rising,R1,Acanthurus triostegas,Convict Tang,Surgeonfish,5,2,
7/27/23,7,2023,11:30,Rising,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,8,1,
7/27/23,7,2023,11:30,Rising,R1,Dascyllus albisella,Domino damselfish,Damselfish,15,1,
7/27/23,7,2023,11:30,Rising,R1,Dascyllus albisella,Domino damselfish,Damselfish,3,1,
7/27/23,7,2023,11:30,Rising,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,25,6,
7/27/23,7,2023,11:30,Rising,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,6,1,
7/27/23,7,2023,11:30,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,2,9,
7/27/23,7,2023,11:30,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,15,1,
7/27/23,7,2023,11:30,Rising,R2,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,7,1,
7/27/23,7,2023,11:30,Rising,R2,Parrotfish sp. ,Parrotfish sp.,Parrotfish,3,1,
7/27/23,7,2023,11:30,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,15,4,
7/27/23,7,2023,11:30,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,2,2,
7/27/23,7,2023,11:30,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,15,1,
7/27/23,7,2023,11:30,Rising,R3,Dascyllus albisella,Domino damselfish,Damselfish,3,1,
7/27/23,7,2023,11:30,Rising,R3,Zebrasoma flavescens,Yellow Tang,Surgeonfish,4,1,
7/27/23,7,2023,11:30,Rising,R3,Parrotfish sp. ,Parrotfish sp.,Parrotfish,3,3,I think striped
7/27/23,7,2023,11:30,Rising,R3,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,15,1,
8/28/23,8,2023,12:30,Rising,R1,Zebrasoma flavescens,Yellow Tang,Surgeonfish,8,1,
8/28/23,8,2023,12:30,Rising,R1,Dascyllus albisella,Domino damselfish,Damselfish,8,2,
8/28/23,8,2023,12:30,Rising,R1,Dascyllus albisella,Domino damselfish,Damselfish,3,3,
8/28/23,8,2023,12:30,Rising,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,8,1,
8/28/23,8,2023,12:30,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,5,7,
8/28/23,8,2023,12:30,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,3,15,
8/28/23,8,2023,12:30,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,6,5,
8/28/23,8,2023,12:30,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,2,
8/28/23,8,2023,12:30,Rising,R1,Acanthurus triostegas,Convict Tang,Surgeonfish,4,2,
8/28/23,8,2023,12:30,Rising,R1,Parrotfish sp. ,Parrotfish sp.,Parrotfish,5,6,
8/28/23,8,2023,12:30,Rising,R1,Lutjanus kasmira,Bluestripe snapper,Grunt,5,2,
8/28/23,8,2023,12:30,Rising,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,10,2,
8/28/23,8,2023,12:30,Rising,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,6,2,
8/28/23,8,2023,12:30,Rising,R2,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,8,2,
8/28/23,8,2023,12:30,Rising,R2,Acanthurus triostegas,Convict Tang,Surgeonfish,10,2,
8/28/23,8,2023,12:30,Rising,R2,Zebrasoma flavescens,Yellow Tang,Surgeonfish,4,1,
8/28/23,8,2023,12:30,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,4,12,
8/28/23,8,2023,12:30,Rising,R2,Parrotfish sp. ,Parrotfish sp.,Parrotfish,4,3,
8/28/23,8,2023,12:30,Rising,R2,Lutjanus kasmira,Bluestripe snapper,Grunt,6,1,
8/28/23,8,2023,12:30,Rising,R2,Arothron hispidus,Stripebelly Pufferfish,Pufferfish,15,1,
8/28/23,8,2023,12:30,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,15,2,
8/28/23,8,2023,12:30,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,8,5,
8/28/23,8,2023,12:30,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,5,10,
8/28/23,8,2023,12:30,Rising,R3,Dascyllus albisella,Domino damselfish,Damselfish,3,4,
8/28/23,8,2023,12:30,Rising,R3,Zebrasoma flavescens,Yellow Tang,Surgeonfish,4,1,
8/28/23,8,2023,12:30,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,15,1,
8/28/23,8,2023,12:30,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,8,1,
8/28/23,8,2023,12:30,Rising,R3,Parrotfish sp. ,Parrotfish sp.,Parrotfish,10,1,
8/28/23,8,2023,12:30,Rising,R3,Parrotfish sp. ,Parrotfish sp.,Parrotfish,3,7,
8/28/23,8,2023,12:30,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,3,3,
8/28/23,8,2023,12:30,Rising,R3,Lutjanus kasmira,Bluestripe snapper,Grunt,4,1,
8/28/23,8,2023,12:30,Rising,R3,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,10,1,
9/27/23,9,2023,1:00,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,7,30,
9/27/23,9,2023,1:00,Rising,R1,Dascyllus albisella,Domino damselfish,Damselfish,12,2,
9/27/23,9,2023,1:00,Rising,R1,Lutjanus kasmira,Bluestripe snapper,Grunt,12,2,
9/27/23,9,2023,1:00,Rising,R1,Zebrasoma flavescens,Yellow Tang,Surgeonfish,10,1,
9/27/23,9,2023,1:00,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,10,2,
9/27/23,9,2023,1:00,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,5,20,
9/27/23,9,2023,1:00,Rising,R1,Acanthurus triostegas,Convict Tang,Surgeonfish,10,1,
9/27/23,9,2023,1:00,Rising,R1,Parrotfish sp. ,Parrotfish sp.,Parrotfish,5,1,
9/27/23,9,2023,1:00,Rising,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,8,1,
9/27/23,9,2023,1:00,Rising,R1,Zebrasoma flavescens,Yellow Tang,Surgeonfish,4,1,
9/27/23,9,2023,1:00,Rising,R1,Dascyllus albisella,Domino damselfish,Damselfish,3,2,
9/27/23,9,2023,1:00,Rising,R2,Arothron hispidus,Stripebelly Pufferfish,Pufferfish,15,1,
9/27/23,9,2023,1:00,Rising,R2,Acanthurus triostegas,Convict Tang,Surgeonfish,10,2,
9/27/23,9,2023,1:00,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,5,30,
9/27/23,9,2023,1:00,Rising,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,7,3,
9/27/23,9,2023,1:00,Rising,R2,Zebrasoma flavescens,Yellow Tang,Surgeonfish,4,1,
9/27/23,9,2023,1:00,Rising,R2,Parrotfish sp. ,Parrotfish sp.,Parrotfish,3,1,
9/27/23,9,2023,1:00,Rising,R2,Dascyllus albisella,Domino damselfish,Damselfish,2,1,
9/27/23,9,2023,1:00,Rising,R2,Parrotfish sp. ,Parrotfish sp.,Parrotfish,5,1,
9/27/23,9,2023,1:00,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,20,1,
9/27/23,9,2023,1:00,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,10,3,
9/27/23,9,2023,1:00,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,5,20,
9/27/23,9,2023,1:00,Rising,R3,Dascyllus albisella,Domino damselfish,Damselfish,5,4,
9/27/23,9,2023,1:00,Rising,R3,Acanthurus triostegas,Convict Tang,Surgeonfish,10,1,
9/27/23,9,2023,1:00,Rising,R3,Zebrasoma flavescens,Yellow Tang,Surgeonfish,10,1,
9/27/23,9,2023,1:00,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,10,3,
9/27/23,9,2023,1:00,Rising,R3,Parrotfish sp. ,Parrotfish sp.,Parrotfish,2,3,
10/25/23,10,2023,12:15,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,7,10,
10/25/23,10,2023,12:15,Rising,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,10,1,
10/25/23,10,2023,12:15,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,7,30,
10/25/23,10,2023,12:15,Rising,R1,Dascyllus albisella,Domino damselfish,Damselfish,12,5,
10/25/23,10,2023,12:15,Rising,R1,Dascyllus albisella,Domino damselfish,Damselfish,4,3,
10/25/23,10,2023,12:15,Rising,R1,Lutjanus kasmira,Bluestripe snapper,Grunt,13,2,
10/25/23,10,2023,12:15,Rising,R1,Parrotfish sp. ,Parrotfish sp.,Parrotfish,4,1,
10/25/23,10,2023,12:15,Rising,R1,Lutjanus fulvus,Blacktail snapper,Grunt,12,1,
10/25/23,10,2023,12:20,Falling,R2,Lutjanus kasmira,Bluestripe snapper,Grunt,15,1,
10/25/23,10,2023,12:20,Falling,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,7,20,
10/25/23,10,2023,12:20,Falling,R2,Seriola dorsalis,Hawaiian yellowtail,Jacks,12,2,
10/25/23,10,2023,12:20,Falling,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,10,2,
10/25/23,10,2023,12:20,Falling,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,4,1,
10/25/23,10,2023,12:20,Falling,R2,Parrotfish sp. ,Parrotfish sp.,Parrotfish,3,3,
10/25/23,10,2023,12:20,Falling,R2,Parrotfish sp. ,Parrotfish sp.,Parrotfish,8,1,
10/25/23,10,2023,12:25,Falling,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,7,25,
10/25/23,10,2023,12:25,Falling,R3,Dascyllus albisella,Domino damselfish,Damselfish,4,2,
10/25/23,10,2023,12:25,Falling,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,15,9,
10/25/23,10,2023,12:25,Falling,R3,Zebrasoma flavescens,Yellow Tang,Surgeonfish,15,1,
10/25/23,10,2023,12:25,Falling,R3,Dascyllus albisella,Domino damselfish,Damselfish,8,2,
10/25/23,10,2023,12:25,Falling,R3,Acanthurus triostegas,Convict Tang,Surgeonfish,15,1,
12/4/23,12,2023,7:45,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,8,14,
12/4/23,12,2023,7:45,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,8,20,
12/4/23,12,2023,7:45,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,3,3,
12/4/23,12,2023,7:45,Rising,R1,Dascyllus albisella,Domino damselfish,Damselfish,6,4,
12/4/23,12,2023,7:45,Rising,R1,Lutjanus kasmira,Bluestripe snapper,Grunt,15,3,
12/4/23,12,2023,7:45,Rising,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,12,1,
12/4/23,12,2023,7:45,Rising,R1,Parrotfish sp. ,Parrotfish sp.,Parrotfish,3,1,
12/4/23,12,2023,7:45,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,8,7,
12/4/23,12,2023,7:45,Rising,R2,Canthigaster jactator,Hawaiian Whitespotted Toby,Pufferfish,6,1,
12/4/23,12,2023,7:45,Rising,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,12,1,
